id,task,framework,fold,result,mode,version,params,tag,utc,duration,models,seed,info,acc,auc,logloss
openml.org/t/146821,car,GAMA,2,0.00980106,local,20.1.0,,stable,2020-06-24T22:51:06,2534.2,50,1294873134,,1.0,,0.00980106
openml.org/t/146821,car,GAMA,3,0.0161819,local,20.1.0,,stable,2020-06-24T22:51:23,2538.7,50,1839069438,,0.99422,,0.0161819
openml.org/t/146821,car,GAMA,4,0.0130239,local,20.1.0,,stable,2020-06-24T22:56:22,2534.3,50,2220940706,,1.0,,0.0130239
openml.org/t/146821,car,GAMA,5,0.0287088,local,20.1.0,,stable,2020-06-24T23:00:52,2534.0,50,184990040,,0.99422,,0.0287088
openml.org/t/146821,car,GAMA,6,0.0175156,local,20.1.0,,stable,2020-06-24T23:00:59,2534.2,50,3925142283,,0.99422,,0.0175156
openml.org/t/146821,car,GAMA,7,0.0293949,local,20.1.0,,stable,2020-06-24T23:01:22,2532.8,50,965824802,,0.982659,,0.0293949
openml.org/t/146821,car,GAMA,8,0.00280449,local,20.1.0,,stable,2020-06-24T23:02:17,2538.0,50,3315590315,,1.0,,0.00280449
openml.org/t/146821,car,GAMA,9,0.0158306,local,20.1.0,,stable,2020-06-24T23:02:36,2532.5,50,425680274,,1.0,,0.0158306
openml.org/t/168908,christine,GAMA,0,0.850329,local,20.1.0,,stable,2020-06-24T23:03:25,2539.5,50,3153297468,,0.771218,0.850329,0.54217
openml.org/t/168908,christine,GAMA,1,0.83885,local,20.1.0,,stable,2020-06-24T23:03:24,2533.9,50,2197363452,,0.776753,0.83885,0.523564
openml.org/t/168908,christine,GAMA,2,0.83674,local,20.1.0,,stable,2020-06-24T23:03:37,2535.8,50,3714238192,,0.769373,0.83674,0.535436
openml.org/t/168908,christine,GAMA,3,0.829455,local,20.1.0,,stable,2020-06-24T23:04:08,2533.7,50,3654820646,,0.756458,0.829455,0.51589
openml.org/t/168908,christine,GAMA,4,0.820128,local,20.1.0,,stable,2020-06-24T23:04:17,2533.2,50,3067333026,,0.739852,0.820128,0.526741
openml.org/t/168908,christine,GAMA,5,0.832913,local,20.1.0,,stable,2020-06-24T23:04:28,2534.9,50,1254943786,,0.771218,0.832913,0.517106
openml.org/t/168908,christine,GAMA,6,0.836427,local,20.1.0,,stable,2020-06-24T23:04:58,2534.6,50,2440944135,,0.769373,0.836427,0.520942
openml.org/t/168908,christine,GAMA,7,0.834915,local,20.1.0,,stable,2020-06-24T23:04:48,2534.4,50,3640309139,,0.750923,0.834915,0.506698
openml.org/t/168908,christine,GAMA,8,0.833607,local,20.1.0,,stable,2020-06-24T23:04:35,2533.3,50,402057676,,0.759704,0.833607,0.511177
openml.org/t/168908,christine,GAMA,9,0.802624,local,20.1.0,,stable,2020-06-24T23:06:29,2533.3,50,2678616541,,0.720887,0.802624,0.540475
openml.org/t/9981,cnae-9,GAMA,0,0.0996828,local,20.1.0,,stable,2020-06-24T23:08:02,2534.7,50,3517859666,,0.972222,,0.0996828
openml.org/t/9981,cnae-9,GAMA,1,0.242629,local,20.1.0,,stable,2020-06-24T23:09:37,2527.0,50,810253787,,0.925926,,0.242629
openml.org/t/9981,cnae-9,GAMA,2,0.111945,local,20.1.0,,stable,2020-06-24T23:09:52,2535.2,50,4249547599,,0.962963,,0.111945
openml.org/t/9981,cnae-9,GAMA,3,0.143256,local,20.1.0,,stable,2020-06-24T23:10:20,2523.7,50,3284487513,,0.962963,,0.143256
openml.org/t/9981,cnae-9,GAMA,4,0.111867,local,20.1.0,,stable,2020-06-24T23:10:26,2528.5,50,2239438222,,0.972222,,0.111867
openml.org/t/9981,cnae-9,GAMA,5,0.100711,local,20.1.0,,stable,2020-06-24T23:14:31,2531.4,50,56467145,,0.981481,,0.100711
openml.org/t/9981,cnae-9,GAMA,6,0.150884,local,20.1.0,,stable,2020-06-24T23:15:03,2524.8,50,1166308574,,0.935185,,0.150884
openml.org/t/9981,cnae-9,GAMA,7,0.109441,local,20.1.0,,stable,2020-06-24T23:16:02,2530.3,50,2655983769,,0.953704,,0.109441
openml.org/t/9981,cnae-9,GAMA,8,0.0946652,local,20.1.0,,stable,2020-06-24T23:16:02,2530.0,50,544453477,,0.972222,,0.0946652
openml.org/t/9981,cnae-9,GAMA,9,0.120955,local,20.1.0,,stable,2020-06-24T23:16:00,2527.5,50,1171247469,,0.972222,,0.120955
openml.org/t/146195,connect-4,GAMA,0,0.332354,local,20.1.0,,stable,2020-06-25T01:01:15,2548.3,50,2528229249,,0.869301,,0.332354
openml.org/t/146195,connect-4,GAMA,1,0.442901,local,20.1.0,,stable,2020-06-25T01:01:26,2552.2,50,2812225886,,0.830077,,0.442901
openml.org/t/146195,connect-4,GAMA,2,0.340278,local,20.1.0,,stable,2020-06-25T01:01:57,2546.4,50,2327063233,,0.871226,,0.340278
openml.org/t/146195,connect-4,GAMA,3,0.399104,local,20.1.0,,stable,2020-06-25T01:03:56,2542.7,50,1590899905,,0.852575,,0.399104
openml.org/t/146195,connect-4,GAMA,4,0.338981,local,20.1.0,,stable,2020-06-25T01:08:50,2545.4,50,1208014581,,0.868561,,0.338981
openml.org/t/146195,connect-4,GAMA,5,0.349906,local,20.1.0,,stable,2020-06-25T01:08:44,2542.2,50,175194694,,0.864417,,0.349906
openml.org/t/146195,connect-4,GAMA,6,0.376695,local,20.1.0,,stable,2020-06-25T01:09:06,2544.2,50,2331216613,,0.856572,,0.376695
openml.org/t/146195,connect-4,GAMA,7,0.387607,local,20.1.0,,stable,2020-06-25T01:10:11,2542.6,50,1457470514,,0.851962,,0.387607
openml.org/t/146195,connect-4,GAMA,8,0.387984,local,20.1.0,,stable,2020-06-25T01:10:27,2545.8,50,1589468777,,0.851962,,0.387984
openml.org/t/146195,connect-4,GAMA,9,0.406244,local,20.1.0,,stable,2020-06-25T01:11:12,2544.1,50,2992943342,,0.847668,,0.406244
openml.org/t/31,credit-g,GAMA,0,0.831905,local,20.1.0,,stable,2020-06-24T23:15:59,2525.7,50,1613110271,,0.72,0.831905,0.517621
openml.org/t/31,credit-g,GAMA,1,0.75381,local,20.1.0,,stable,2020-06-24T23:17:38,2526.6,50,35031300,,0.72,0.75381,0.530939
openml.org/t/31,credit-g,GAMA,2,0.756667,local,20.1.0,,stable,2020-06-24T23:18:23,2526.4,50,1035000671,,0.74,0.756667,0.528829
openml.org/t/31,credit-g,GAMA,3,0.785238,local,20.1.0,,stable,2020-06-24T23:19:08,2528.3,50,531382481,,0.77,0.785238,0.519265
openml.org/t/31,credit-g,GAMA,4,0.76,local,20.1.0,,stable,2020-06-24T23:21:09,2525.7,50,3369920474,,0.7,0.76,0.524089
